,date,content,content_type,user,url
17,2021-07-19 03:59:47+00:00,@mebank I should be the brand ambassador surely.... Would be nice to see my name so large on the card ☺ https://t.co/698WF2EPUR,twitter/mention,buckgw,https://twitter.com/buckgw/status/1416971002332909571
18,2021-07-16 23:25:20+00:00,"@mebank Hi Kady, I called ME yesterday after ur message &amp; cso who took the call confirmed tap n go would be waived. She said she would let you know &amp; also pass feedback to snr mgt. Other banks allow online purchases in combination with tap n go. It makes sense during Covid. TY 4 ur help!",twitter/mention,sylviamassara,https://twitter.com/sylviamassara/status/1416177158892900352
19,2021-07-16 05:20:08+00:00,"Very disappointed with @mebank They won't allow for NSW residents in lockdown to qualify for bonus interest because we don't ""tap &amp; go"". Other banks allow you to qualify by buying online. My complaint not taken seriously so I'm soon switching my account to a Covid-friendly bank",twitter/mention,sylviamassara,https://twitter.com/sylviamassara/status/1415904057739255810
20,2021-07-16 01:01:31+00:00,@BOQ @mebank Thanks Jona - looks like it's back (at least was for me) :),twitter/mention,PaulTavtoo,https://twitter.com/PaulTavtoo/status/1415838975525154819
21,2021-07-16 00:14:41+00:00,"@PaulTavtoo @mebank @PaulTavtoo Hi Paul, BOQ is currently experiencing technical issues impacting Internet and Mobile Banking services. The team is working to restore these services as soon as possible and apologises for any inconvenience. Thanks- Jona",twitter/mention,BOQ,https://twitter.com/BOQ/status/1415827190269284363
22,2021-07-15 23:57:14+00:00,@BOQ @mebank Hi Guys - looks like your internet banking is down? Can you confirm yes/no and an ETA if it is?,twitter/mention,PaulTavtoo,https://twitter.com/PaulTavtoo/status/1415822798610526210
23,2021-07-15 04:32:50+00:00,"@SoniaCuff @developerjack @BronwenZ @mebank I, too, have worked for banks and… yeah.",twitter/mention,jpwarren,https://twitter.com/jpwarren/status/1415529766220800000
24,2021-07-15 04:31:18+00:00,@developerjack @BronwenZ @mebank Hi I've worked in banking IT. Yeah.,twitter/mention,SoniaCuff,https://twitter.com/SoniaCuff/status/1415529381955473410
25,2021-07-15 04:28:04+00:00,@developerjack @BronwenZ @mebank I was thinking the same thing.. Even just a dialogue box to confirm the amount if it is over a very high amount surely is not too hard?,twitter/mention,mattcorr,https://twitter.com/mattcorr/status/1415528569602646021
26,2021-07-15 00:09:13+00:00,@developerjack @mebank well also who knew you can overdraw an account by that amount...,twitter/mention,BronwenZ,https://twitter.com/BronwenZ/status/1415463426990632963
27,2021-07-14 23:38:30+00:00,"@BronwenZ @mebank OK so thats really shitty and I hope its reversed swiftly for you... but also thats a little alarming that there's no safety checks on large value transactions that are an order of magnitude (sorry, assuming here) outside normal thresholds. Like... thats pretty basic.",twitter/mention,developerjack,https://twitter.com/developerjack/status/1415455695906820099
28,2021-07-14 23:36:40+00:00,@ChrisWalshie @mebank yeah...opps...and now i wait for it to get reversed...which means i can't use that account. Lucky I don't have bills to pay today,twitter/mention,BronwenZ,https://twitter.com/BronwenZ/status/1415455234499833858
29,2021-07-14 23:35:20+00:00,@niall_bigscreen @mebank @StGeorgeBank Yeah...I'm surprised but not surprised at the same time,twitter/mention,BronwenZ,https://twitter.com/BronwenZ/status/1415454901178564611
30,2021-07-14 23:33:56+00:00,@BronwenZ @mebank Fark. Hang in there.....,twitter/mention,josephcooney,https://twitter.com/josephcooney/status/1415454547997192193
31,2021-07-14 22:56:58+00:00,@BronwenZ @mebank @StGeorgeBank yes it's very surprising - allowing that much overdraw exposes a huge potential risk for fraud/cybercrime.,twitter/mention,niall_bigscreen,https://twitter.com/niall_bigscreen/status/1415445243999133697
32,2021-07-14 22:47:31+00:00,@niall_bigscreen @mebank Well @StGeorgeBank let's you overdraw your business account .. who knew you could do it by that amount.,twitter/mention,BronwenZ,https://twitter.com/BronwenZ/status/1415442866650763264
33,2021-07-14 22:43:41+00:00,@BronwenZ @mebank crazy - you'd think someone would have picked up that you didn't have avail funds to cover it and red flagged it..   Best of luck getting it all sorted.,twitter/mention,niall_bigscreen,https://twitter.com/niall_bigscreen/status/1415441901256204289
34,2021-07-14 22:39:54+00:00,@niall_bigscreen @mebank Done manually by their staff hence they forgot a decimal point,twitter/mention,BronwenZ,https://twitter.com/BronwenZ/status/1415440948532629504
35,2021-07-14 22:39:36+00:00,"@BronwenZ @mebank Wow, that's... I don't even know what. Hope they sort it out before you have to areas about it for too long.",twitter/mention,ButlerMaurice,https://twitter.com/ButlerMaurice/status/1415440875350478849
36,2021-07-14 22:35:07+00:00,@BronwenZ @mebank I can barely imagine a single pixel of the anxiety you must be feeling.  Sending all the cat gifs.,twitter/mention,unixbigot,https://twitter.com/unixbigot/status/1415439743089659906
37,2021-07-14 22:23:35+00:00,@BronwenZ @mebank wow... hope you get a solution to this soon. @mebank how on earth can this go through without checks?,twitter/mention,PatrickKlug,https://twitter.com/PatrickKlug/status/1415436841419898881
38,2021-07-14 22:20:33+00:00,@BronwenZ @mebank Can you accidentally transfer me 2 million please 😀,twitter/mention,zerohash,https://twitter.com/zerohash/status/1415436078949965826
39,2021-07-14 22:09:59+00:00,@BronwenZ @mebank that's insane.. Was it their online banking system or a manual transaction done by staff? You should go to the (tabloid) media - they'd have an absolute field day with a story like this.,twitter/mention,niall_bigscreen,https://twitter.com/niall_bigscreen/status/1415433422168748035
40,2021-07-14 21:28:24+00:00,@mebank I'll be calling as soon as your business banking line opens.. Considering I flagged this yesterday with your staff someone should be well aware this SHOULDN'T have gone through.,twitter/mention,BronwenZ,https://twitter.com/BronwenZ/status/1415422954159050753
41,2021-07-14 21:20:18+00:00,@secretGeek @mebank Pretty much....I see many phone calls in my day.,twitter/mention,BronwenZ,https://twitter.com/BronwenZ/status/1415420915731423233
42,2021-07-14 21:15:46+00:00,@BronwenZ @mebank Holy shit!,twitter/mention,secretGeek,https://twitter.com/secretGeek/status/1415419776457838592
43,2021-07-14 21:02:06+00:00,So now my main business bank account is in the red by over 2 million dollars...thanks @mebank. Beyond angry... https://t.co/BKcwgZbobV,twitter/mention,BronwenZ,https://twitter.com/BronwenZ/status/1415416336889499649
44,2021-07-13 23:49:10+00:00,"@mebank I did, and there weren't any options offered.😠",twitter/mention,sandybeech4,https://twitter.com/sandybeech4/status/1415095994602057728
45,2021-07-13 22:45:56+00:00,@mebank If you were serious about 'helping Australian get ahead' you would waive the requirement for 4 TapnGo transactions to earn bonus interest for customers who are in lockdown and not meant to go out.  Not happy!!!!🤬,twitter/mention,sandybeech4,https://twitter.com/sandybeech4/status/1415080079567118338
46,2021-07-13 21:04:25+00:00,"Oi @mebank Should it take 8 days to process something that takes any other bank 3? Don't even get me started on paying for an online service last Friday and it showing up yesterday. I've been CBUS for decades, but you make me question that. Pull your fucking finger out.",twitter/mention,bagsnotfirst,https://twitter.com/bagsnotfirst/status/1415054533810479109
47,2021-07-10 06:00:31+00:00,"@mebank Happens in incognito with cleared cookies too.

Your server is definitely returning an HTTP 500 error - the problem is the https://t.co/F8vua4Wi3l endpoint

Can you pass this along to your software team please? https://t.co/stTTlCQ7eq",twitter/mention,MarkHnsn,https://twitter.com/MarkHnsn/status/1413739894136922114
48,2021-07-10 03:09:10+00:00,"@mebank your internet banking is giving Error 500 - Internal Server Error and an infinite spinner

can you sort it out. Persists across a dozen reloads. https://t.co/acfJ9KmZ6X",twitter/mention,MarkHnsn,https://twitter.com/MarkHnsn/status/1413696773139300359
49,2021-07-09 10:10:36+00:00,"@mebank just had a denial even though the money was there. It's gone from my account. Was onto the call centre and nothing. It's out of my account to the payee, but I'm getting nought from the service.",twitter/mention,bagsnotfirst,https://twitter.com/bagsnotfirst/status/1413440441580593156
50,2021-07-08 12:55:15+00:00,I love it when @mebank leaves me on read when I message them asking why my latest quarterly statement is over a week late. Cool cool cool.,twitter/mention,kchurch05,https://twitter.com/kchurch05/status/1413119489663635456
51,2021-07-08 04:58:19+00:00,"@mebank Thanks Andy - I will def take part in future testing. 
I just think the previous app had lots of positives and not many negatives. Current one is filled with glitches.",twitter/mention,Karina_Melbs,https://twitter.com/Karina_Melbs/status/1412999465376440329
52,2021-07-07 11:23:10+00:00,"@mebank the newest version of the ap really has a lot of issues. Every time I have tried to add a new payee this week the ap has crashed with a ""something went wrong"" msg. The actual changes to making payts, transfers, bill paying with arrows instead of words - not great !",twitter/mention,Karina_Melbs,https://twitter.com/Karina_Melbs/status/1412733929602256900
53,2021-07-07 08:54:51+00:00,@mebank any chance you're gonna waive the required 4 tap&amp;go purchases for the bonus interest rate this month? kinda under lockdown 🥺,twitter/mention,nugpub,https://twitter.com/nugpub/status/1412696601991077888
54,2021-07-07 02:21:38+00:00,"@mebank Oh okay... I can see it says soon.

Heads up it's very misleading and should be far clearer that it isn't available now.",twitter/mention,deliciouslybad,https://twitter.com/deliciouslybad/status/1412597648742178817
55,2021-07-07 02:19:50+00:00,"@mebank Huh?
It literally says it right here.
Both on Google and your website.

Or am I misreading?? https://t.co/aKR2lBO4WY",twitter/mention,deliciouslybad,https://twitter.com/deliciouslybad/status/1412597192536182786
56,2021-07-07 01:00:06+00:00,"Hi @mebank 
Just curious... Your website and info says you do Osko payments... But you don't.

Is this an error on your website or is it something I have to set up? I can't figure it out but waiting 3 days to transfer and access my own money is annoying and frustrating!

Help?",twitter/mention,deliciouslybad,https://twitter.com/deliciouslybad/status/1412577127233298433
57,2021-07-07 00:02:42+00:00,@mebank is there a problem with transfers from other banks to ME bank accounts? Pay hasn’t arrived from yesterday when generally goes in the same afternoon? All other employees have received in their nominated bank accounts yesterday…,twitter/mention,JaydenBurns,https://twitter.com/JaydenBurns/status/1412562684130709506
58,2021-07-06 03:25:33+00:00,@mebank your app isn't working again,twitter/mention,ummijah,https://twitter.com/ummijah/status/1412251344962953220
59,2021-07-05 23:16:46+00:00,Finalists of the 2021 HESTA Early Childhood Education &amp; Care Awards have been announced! Find out if you know one of the incredible finalists: https://t.co/84kMnpOsGu #HESTAAwards #EarlyChildhoodAwards @mebank @ourcbcity @GowrieVictoria @weareuniting https://t.co/Tfd8xGW02u,twitter/mention,HESTASuper,https://twitter.com/HESTASuper/status/1412188736813617152
60,2021-07-04 16:42:05+00:00,@soft_burrito @mebank Need,twitter/mention,dwitt2020,https://twitter.com/dwitt2020/status/1411727022557179905
61,2021-07-04 04:28:16+00:00,"@soft_burrito @mebank Need, want , need, and possibly want.",twitter/mention,Jon38059811Ryan,https://twitter.com/Jon38059811Ryan/status/1411542352670466049
62,2021-07-04 04:04:00+00:00,@nipconnoisseur @mebank i had supersex with your father,twitter/mention,soft_burrito,https://twitter.com/soft_burrito/status/1411536243867979783
63,2021-07-04 04:02:39+00:00,@squiddguy @mebank it was supposed to be a saddam hussein joke but he untagged himself 😭,twitter/mention,soft_burrito,https://twitter.com/soft_burrito/status/1411535903546347520
64,2021-07-04 04:02:04+00:00,@soft_burrito @mebank neeeeeeeeeed,twitter/mention,squiddguy,https://twitter.com/squiddguy/status/1411535759140704256
65,2021-07-04 04:01:18+00:00,"@mebank he untagged himself and ruined the joke, L https://t.co/lcMURuo82Q",twitter/mention,soft_burrito,https://twitter.com/soft_burrito/status/1411535563841277955
66,2021-07-04 03:53:32+00:00,@PivvyWivvy @mebank @nipconnoisseur same🥴,twitter/mention,soft_burrito,https://twitter.com/soft_burrito/status/1411533611971629057
67,2021-07-04 03:52:14+00:00,@soft_burrito @mebank @nipconnoisseur need 😖😖😖😖😖😭😭😭😭😳🥺🥺🥺‼️‼️‼️‼️‼️‼️,twitter/mention,PivvyWivvy,https://twitter.com/PivvyWivvy/status/1411533284035764224
68,2021-07-04 03:51:50+00:00,@soft_burrito @mebank @nipconnoisseur Wait a minute… https://t.co/N7cyg3uwTa,twitter/mention,ssaldiassc,https://twitter.com/ssaldiassc/status/1411533184844668930
69,2021-07-04 03:51:42+00:00,@soft_burrito @mebank @nipconnoisseur wtf,twitter/mention,ilikewomenal0t,https://twitter.com/ilikewomenal0t/status/1411533151227232258
70,2021-07-01 06:08:14+00:00,"We're celebrating our very own WE Day today as our newest member of the family, @mebank officially joins us. It's business as usual for our customers who will continue to enjoy the friendly experience they know and love. Read more: https://t.co/TlL2nch3a8 https://t.co/hfcB4658PZ",twitter/mention,BOQ,https://twitter.com/BOQ/status/1410480344051052545
71,2021-07-01 03:44:59+00:00,".@BOQ completes acquisition of @mebank @ChrisDastoor reports

https://t.co/MgMzrWHdF4",twitter/mention,superreview,https://twitter.com/superreview/status/1410444297447505925
72,2021-07-01 03:44:49+00:00,".@BOQ completes acquisition of @mebank @ChrisDastoor reports

https://t.co/2P1XxqQhLy",twitter/mention,moneymanage,https://twitter.com/moneymanage/status/1410444254162214913
73,2021-07-01 03:41:12+00:00,"BREAKING NEWS: @mebank Bank has officially become part of the @BOQ following completion of the $1.32 billion deal.
https://t.co/Sv54Qu5fBT",twitter/mention,TheAdviserAU,https://twitter.com/TheAdviserAU/status/1410443344573042689
